Doc Fiscal;Quilometragem;Litros;Combustivel;Manutenção;Custos Motorista
774554;1404;520;2008,04;;184,09
774555;960;300;2222,22;;144,07
774556;1184;303,5;2242,42;;121,98
774557;1380;300;2053,57;416,48;188,97
774558;1538;569,6;2912,58;;205,82
774559;1538;357,6;3845;;191,22
774560;948;379,2;1494,92;416,48;201,63
774561;1184;370;2221,74;416,48;167,44
774562;1182;274,8;3211,95;;189,28
774563;934;291,8;1248,71;;178,77
774564;1184;257,3;2312,5;;189,64
774565;1276;455,7;2416,66;;169,47
774566;1570;402,5;2798,29;;189,61
774567;1528;402,1;2057,7;;124,71
774568;1184;263,1;2657,42;;122,42
774569;1338;393,5;2534,09;;140,09
774570;1338;581,7;3635,86;;161,81
774571;1736;694,4;3287,55;;101,92
774572;1562;557,8;3050,78;;96,76
774573;1392;662,8;1685,86;;170,88
774574;1808;531,7;4035,71;;162,6
774575;1766;383,9;2566,86;;170,07
774576;1506;396,3;3259,41;;182,29
774577;1546;672,1;2477,56;;157,56
774578;1346;345,1;1869,44;;169,47
774579;884;210,4;1284,88;;138,43
774580;1170;272;1589,67;;170,53
774581;948;296,2;1559,21;;188,24
774582;948;210,6;2194,44;;132,36
774583;948;287,2;1288,04;;106,11
774584;1272;282,6;1738,4;;135,65
774585;1538;415,6;2136,11;;187,95
774586;1426;445,6;3200,57;;172,4
774587;1538;668,6;4179,34;;94,43
774588;2404;961,6;3237,38;;181,03
774589;948;278,8;1845,21;;95,88
774590;1012;224,8;1664,47;;127,45
774591;948;206;1821,93;;192,38
774592;1368;360;1828,95;;133,57
774593;1486;330,2;2814,39;;167,77
774594;1428;446,2;3305,55;;163,13
774595;1380;363,1;2496,17;;143,76
774596;1426;419,4;4244,04;;102,64
774597;1582;343,9;2197,22;;194,79
774598;948;256,2;1316,66;;134,64
774599;1434;387,5;3319,44;;133,68
774600;1404;438,7;1890,72;;131,42
774601;1350;397;2594,53;;188,69
774602;1464;325,3;3267,85;;128,08
774603;1338;352,1;3170,47;;104,93
774604;1576;685,2;3648,14;;182,07
774605;1828;406,2;3956,31;;160,08
774606;1184;303,5;1594,45;;186,53
774607;1312;312,3;3565,21;;114,97
774608;1514;540,7;2738,55;;188,97
774609;1740;644,4;3905,33;;142,72
774610;1368;369,7;1988,37;;137,69
774611;1368;414,5;3365,28;;173,51
774612;1916;766,4;3628,78;;188,52
774613;1368;304;1656,8;;160,93
774614;1528;565,9;2805,96;;145,98
774615;1466;318,6;2694,85;;113,41
774616;948;243;1851,56;;121,1
774617;2022;631,8;4680,55;;161,5
774618;1392;497,1;3222,22;;119,47
774619;1346;299,1;1828,8;;185,51
774620;1684;495,2;2616,67;;170,17
774621;1410;327,9;1915,76;;157,76
774622;214;101,9;290,76;;149,22
774623;1356;502,2;3043,46;;194,97
774624;1272;553;2444,62;;116,53
774625;1866;405,6;3019,97;;99,33
774626;1338;418,1;3861,08;;132,74
774627;1670;371,1;2427,32;;177,26
774628;962;343,5;2082,04;263,13;127,07
774629;1828;537,6;5275,08;;118,96
774630;1380;492,8;2536,76;;156,89
774631;1148;294,3;1888,15;;140,71
774632;1410;335,7;1958,33;;127,67
774633;1894;701,4;2708,86;;99,93
774634;1894;823,4;4384,25;;108,79
774635;1522;353,9;2080,06;;154,83
774636;948;256,2;1795,45;;135,51
774637;1980;600;3639,7;;104,14
774638;948;278,8;1519,23;;151,62
774639;910;202,2;1263,88;;171,89
774640;1730;402,3;4701,08;;106,62
774641;1728;384;2347,82;;188,29
774642;1756;418;2364,74;;190,86
774643;1368;427,5;2590,9;;198,95
774644;1894;757,6;3640,03;;158,41
774645;1368;488,5;2125,66;1220,22;166,12
774646;1012;440;2530;;151,94
774647;1184;563,8;1947,36;1220,22;109,08
774648;1530;413,5;2125;;118,52
774649;1868;504,8;4324,07;;172,45
774650;1184;370;3467,42;;142,96
774651;1828;406,2;2538,88;;141,25
774652;948;287,2;1742,64;;138,33
774653;948;243;1377,9;;142,59
774654;1514;445,2;2057,06;;161,06
774655;1398;665,7;2080,35;;174,15
774656;1674;389,3;3077,2;;155,28
774657;948;351,1;1559,21;;147,42
774658;1246;389,3;3385,86;;164,31
774659;1380;552;2536,76;881,95;134,65
774660;1236;537,3;1689,2;;181,7
774661;1182;262,6;2736,11;;170,18
774662;1182;274,8;1741,05;;131,21
774663;1538;341,7;2912,87;;158,34
774664;1346;395,8;1956,39;881,95;185,1
774665;1318;356,2;3581,52;;164,79
774666;940;447,6;1324,74;;119,13
774667;1184;275,3;1947,36;;114,55
774668;948;287,2;2370;;184,24
774669;1272;397,5;1892,85;;117,6
774670;960;246,1;1333,33;;168,28
774671;1538;341,7;2136,11;;149,95
774672;1766;519,4;2467,87;;132,44
774673;1784;637,1;3861,08;;124,65
774674;1754;417,6;4766,3;;95,57
774675;960;213,3;1868,57;;103,53
774676;1766;706,4;3344,69;;104,65
774677;1170;508,6;3082,69;;117,38
774678;1410;313,3;3051,64;896,56;110,41
774679;938;335;1832,03;;94,68
774680;1184;263,1;2960;;145,5
774681;1894;823,4;2752,9;;161,22
774682;1926;566,4;3167,76;;114,4
774683;1170;278,5;2764,66;;154
774684;980;306,2;1562,84;;142,2
774685;764;272,8;1492,18;;146,77
774686;1410;361,5;2513,11;;136,62
774687;1370;318,6;2128,76;;106,35
774688;1514;388,2;3785;;115,47
774689;1204;267,5;1645,46;;103,53
774690;1410;427,2;2670,45;;106,08
774691;938;335;2030,1;;145,33
774692;1358;399,4;3690,21;;187,99
774693;1514;336,4;2024,15;;136,86
774694;1346;640,9;1828,8;390,12;130,43
774695;1918;599,3;2787,79;;147,81
774696;1368;325,7;3316,03;;194,61
774697;1184;514,7;2740,74;;193,85
774698;1402;311,5;2305,92;;129,75
774699;1184;281,9;1594,45;;132,73
774700;940;276,4;2797,61;;168,26
774701;1802;643,5;2963,81;;134,86
774702;1766;767,8;2326,51;;163,5
774703;1756;532,1;2613,09;;124,48
774704;1538;341,7;3783,48;;203,56
774705;856;267,5;1852,62;;178,06
774706;948;379,2;1388,14;;196,79
774707;2268;667;3150;;104,87
774708;948;220,4;1851,56;;154,94
774709;948;451,4;1316,66;;145,67
774710;948;210,6;1511,81;387,92;150,78
774711;1184;303,5;1668,61;;174,44
774712;1900;452,3;4398,14;;158,55
774713;806;251,8;1325,65;;102,91
774714;1014;225,3;1473,83;387,92;130,67
774715;1706;741,7;2369,44;;144,76
774716;2104;751,4;3317,84;;138,68
774717;948;287,2;1714,76;;182,83
774718;1356;502,2;2017,85;;119,71
774719;1410;564;4068,85;;132,89
774720;948;243;2419,29;;167,98
774721;1346;480,7;3115,74;;154,01
774722;1236;386,2;2032,89;;165,12
774723;948;220,4;1913,55;;188,3
774724;948;210,6;1406,56;;91,73
774725;1766;535,1;2585,92;;100,5
774726;1410;613;1885,1;;146,33
774727;1398;411,1;2080,35;;149,37
774728;1508;718;2191,86;;179,52
774729;1902;422,6;3390,03;;162,08
774730;1370;360,5;1872,33;;181,45
774731;1184;473,6;1644,44;;161,01
774732;1004;239;1189,52;;150,06
774733;948;351,1;1559,21;;193,29
774734;948;338,5;2576,08;;157,97
774735;1528;477,5;2936,62;;197,41
774736;1876;568,4;3664,06;;146,53
774737;948;210,6;1689,67;;190,24
774738;1458;324;3898,56;;194,14
774739;1316;387;1827,77;;111,29
774740;1184;422,8;2642,85;;184,18
774741;1184;438,5;2312,5;;179,78
774742;1514;360,4;3398,08;;145,69
774743;1346;538,4;2213,81;;193,43
774744;1368;325,7;3053,57;;166,82
774745;1170;260;2925;791,48;94,07
774746;1894;901,9;3699,21;;169,57
774747;1706;396,7;2479,65;;113,99
774748;1410;414,7;2319,07;;181,05
774749;1836;408;3585,93;;179,22
774750;1184;303,5;1693,39;;152,77
774751;1416;429;3178,13;;200,97
774752;1936;605;3133,26;;99,47
774753;1302;289,3;3538,04;;149,79
774754;1730;640,7;2364,33;;118,99
774755;948;278,8;1410,71;;107,21
774756;1894;757,6;3686,53;;146,24
774757;960;342,8;2108,57;;108,71
774758;1894;591,8;2495,13;;167,45
774759;948;351,1;1276,64;;157,33
774760;938;218,1;1518,07;;138,26
774761;812;219,4;2030;;201,79
774762;948;412,1;2116,07;;151,87
774763;1346;395,8;3546,41;;125,81
774764;1346;313;3941,85;;191,04
774765;1276;283,5;3467,39;;155,96
774766;1316;411,2;3467,37;;183,44
774767;1894;485,6;3115,13;;117,81
774768;940;208,8;1256,73;;174,34
774769;1538;334,3;2136,11;;177,31
774770;1570;475,7;2265,28;;136,49
774771;1540;550;3007,81;;152,84
774772;1508;327,8;3770;;141,12
774773;1346;407,8;2002,97;;93,42
774774;1350;397;2965,17;;188,59
774775;1302;289,3;1769,02;;186,56
774776;1816;864,7;2481,86;;105,97
774777;1538;668,6;2252,07;;149,49
774778;1170;272;1625;;105,98
774779;1346;345,1;1799,54;;187,93
774780;1254;298,5;2714,01;;130,74
774781;1508;471,2;2030,77;;118,03
774782;1246;336,7;3708,33;;151,14
774783;1454;581,6;2672,79;;114,49
774784;1854;579,3;2956,64;;152,47
774785;1426;419,4;3183,03;;158,4
774786;970;421,7;1546,89;;187,8
774787;1488;391,5;3920,55;;152,56
774788;948;206;1288,04;;129,34
774789;1562;624,8;2825,38;;193,99
774790;948;296,2;1559,21;;186,49
774791;1004;478;1960,93;;137,51
774792;1684;374,2;2698,71;;196,1
774793;1918;518,3;3871,51;;154,62
774794;1092;390;2007,35;;191,76
774795;1356;301,3;2934,77;;151,09
774796;1314;292;3041,66;1327,42;167,88
774797;940;241;2350;;156,84
774798;1184;275,3;1756,72;;154,37
774799;1528;565,9;2409,53;;119,29
774800;1868;566;4994,86;;111,4
774801;1538;341,7;3845;;129,1
774802;962;229;1248,3;;184,14
774803;1538;732,3;2529,6;;105,75
774804;1346;585,2;3115,74;;106,99
774805;948;296,2;2370;;142,92
774806;1228;361,1;1705,55;;145,97
774807;1404;305,2;2008,04;;170,63
774808;1402;368,9;2795,23;;167,84
774809;1084;292,9;1575,58;;193,33
774810;1818;568,1;3288,44;;97,17
774811;1182;513,9;2308,59;;105,01
774812;1902;487,6;3496,32;;96,6
774813;924;220;1519,73;;172,56
774814;948;278,8;1742,64;;139,16
774815;1410;313,3;1958,33;2095,77;130,44
774816;1054;245,1;2864,13;;163,33
774817;1528;477,5;2513,15;;172,84
774818;1370;507,4;2253,28;;154,3
774819;1674;452,4;3027,97;;117,17
774820;764;166;1092,69;;185,35
774821;1184;311,5;1947,36;;106,09
774822;1410;361,5;2367,31;;118,48
774823;1522;330,8;2503,28;;131,08
774824;800;347,8;1111,11;;180,33
774825;1434;434,5;2286,85;;106,28
774826;1426;331,6;2072,67;;153,52
774827;1098;244;2079,54;;171,42
774828;1416;674,2;1893,13;;101,02
774829;1410;522,2;2670,45;1725,49;164,65
774830;1970;703,5;3621,32;;137,61
774831;1246;389,3;1811,04;;119,84
774832;1684;526,2;2039,51;;108,91
774833;1170;344,1;1700,58;;151,03
774834;1346;299,1;1869,44;1725,49;155,11
774835;1346;480,7;2122,53;;137,5
774836;924;243,1;1842,22;;154,46
774837;1396;558,4;2566,17;;120,4
774838;1894;511,8;4591,05;;135,22
774839;948;412,1;1377,9;;114,45
774840;1346;320,4;1869,44;;141,05
774841;1604;486;2331,39;;110,41
774842;1538;341,7;2101,93;;120,41
774843;948;220,4;2576,08;;109,04
774844;948;278,8;1614,56;;159,2
774845;1086;285,7;1731,88;;199,78
774846;1426;339,5;1906,5;;189,91
774847;1368;427,5;1869,6;;139,83
774848;1012;220;2750;;152,34
774849;948;412,1;1410,71;759,18;95,58
774850;1410;503,5;2670,18;;111,27
774851;1730;617,8;3180,14;;130,59
774852;1576;404,1;2188,88;;103,86
774853;1004;304,2;1435,95;;134,74
774854;948;379,2;2116,07;;139,95
774855;1004;295,2;1394,44;;147,44
774856;1508;538,5;3366,07;;121,78
774857;1346;299,1;1799,54;;166,75
774858;960;300;2222,22;;160,15
774859;948;249,4;2576,08;;118,87
774860;1182;513,9;1605,97;;102,87
774861;1316;313,3;2419,11;;164,61
774862;948;451,4;1355,86;;165,81
774863;1924;493,3;2672,22;;164,13
774864;1086;387,8;1740,38;;134,55
774865;948;412,1;1511,81;;155,14
774866;1368;318,1;2629,12;844,54;120,65
774867;1228;438,5;3070;;130,78
774868;1392;309,3;1933,33;844,54;171,98
774869;1398;436,8;1941,66;;106,19
774870;948;278,8;2332,08;;149,35
774871;1966;595,7;4388,39;;163,05
774872;1322;489,6;2503,78;;118,48
774873;908;197,3;1669,11;;125,36
774874;1538;615,2;2465,32;;147,17
774875;1246;336,7;1509,04;;140,28
774876;1182;274,8;2238,63;;115,75
774877;1184;348,2;1720,93;;200,65
774878;1346;292,6;2956,39;;163,44
774879;1184;281,9;3217,39;;172,52
774880;1426;316,8;1980,55;;137,07
774881;1434;512,1;2020,93;;159,41
774882;960;246,1;2222,22;;145,81
774883;1538;668,6;2912,87;558,39;141,99
774884;1538;480,6;2464,74;;122,52
774885;1368;488,5;3947,65;;153,53
774886;1464;522,8;2691,17;;162,15
774887;1562;679,1;2287,21;;193
774888;1488;437,6;2003,84;;199,67
774889;1316;346,3;2937,5;;202
774890;1184;263,1;1693,39;;136,19
774891;216;55,3;293,47;;186,85
774892;1004;313,7;2205,21;;168,85
774893;1254;464,4;1798,5;;182,32
774894;1346;498,5;2434,67;;131,24
774895;1368;488,5;2192,3;;201,87
774896;1184;275,3;2642,85;;97,82
774897;1598;760,9;3121,09;;144,94
774898;1986;431,7;4362,1;541,76;154,03
774899;1410;335,7;3263,88;;163,36
774900;948;287,2;1276,64;;125,76
774901;1184;514,7;1947,36;541,76;133,19
774902;1004;223,1;1215,95;;139,17
774903;1758;390,6;4324,68;;104,86
774904;1316;387;1798,53;;181,41
774905;948;296,2;2821,42;;157,18
774906;938;240,5;2105,28;;113,93
774907;1604;422,1;2386,9;;118,39
774908;960;342,8;1538,46;;111,53
774909;1562;578,5;2026,88;;124,69
774910;1184;422,8;1839,75;;181,28
774911;948;278,8;1276,64;;116,29
774912;934;345,9;2021,44;;137,46
774913;1766;519,4;2452,77;;181,15
774914;1184;422,8;2176,47;;142,54
774915;692;216,2;1351,56;;159,22
774916;1966;436,8;2730,55;;161,17
774917;1346;363,7;2956,39;;113,95
774918;1346;292,6;2474,26;;194,8
774919;1872;668,5;2720,93;;94,47
774920;1454;372,8;3169,72;;160,64
774921;1410;335,7;1958,33;;186,78
774922;1410;313,3;3468,6;;201,23
774923;1346;292,6;2628,9;;133,58
774924;948;243;1795,45;;136,4
774925;1520;447;2261,9;;152,52
774926;948;220,4;2194,44;;129,04
774927;1514;658,2;2426,85;;101,8
774928;1084;292,9;1459,78;;142,69
774929;1538;341,7;2529,6;;145,91
774930;1728;454,7;2511,62;;161,82
774931;1302;465;2053,15;1599,52;186,02
774932;1410;440,6;3770,21;;122,23
774933;1428;510;1940,21;;114,3
774934;1346;538,4;1839,53;;184,34
774935;1508;443,5;2856,06;1599,52;123,64
774936;910;284,3;1748,9;;186,85
774937;1184;320;2312,5;;181,26
774938;1276;277,3;3015,14;;109,24
774939;1906;501,5;3722,65;;153,04
774940;1840;438;3484,84;;192,76
774941;1426;331,6;1992,74;;111,23
774942;1242;276;1990,38;;194,2
774943;1894;485,6;3115,13;;125,86
774944;1346;640,9;1925,09;;131,47
774945;1766;535,1;4087,96;;123,1
774946;1684;601,4;4502,86;;161,14
774947;1528;664,3;3820;;116,13
774948;1426;509,2;3565;;120,62
774949;1500;600;3750;;114,61
774950;1192;441,4;2290,87;;116,05
774951;1902;422,6;5168,47;337,99;100,85
774952;1086;339,3;1964,38;;136,18
774953;1538;404,7;2425,3;;129,25
774954;1562;347,1;3615,74;;139,6
774955;1054;458,2;1733,55;;119,72
774956;1184;473,6;2960;;118,16
774957;1174;419,2;1872,22;;174,29
774958;1410;414,7;2049,41;;142,4
774959;1902;422,6;3714,84;;145,65
774960;1170;417,8;2925;;202,04
774961;948;220,4;2497,77;;130,54
774962;1674;492,3;3736,6;;192,28
774963;1774;422,3;2424,46;;198,08
774964;1774;554,3;3359,84;;102,3
774965;1918;685;2663,88;1590,62;123,38
774966;1246;276,8;1811,04;1590,62;127,9
774967;1054;329,3;1463,88;;183,73
774968;1346;363,7;2434,67;;170,53
774969;1270;470,3;1710,26;1590,62;118,42
774970;1256;322;2065,78;;111,42
774971;1410;306,5;2513,11;;104,37
774972;948;379,2;1288,04;;136,06
774973;948;243;1410,71;;140,92
774974;1894;557;5146,73;;181,41
774975;1246;445;2696,7;;181,93
774976;1184;311,5;1433,95;;155,3
774977;1228;438,5;1641,78;;190,57
774978;1368;506,6;3004,71;;171,12
774979;1906;414,3;4620,14;;95,29
774980;1346;538,4;3004,46;;152
774981;1428;420;3305,55;;179,66
774982;948;412,1;1316,66;;160,85
774983;1184;358,7;1947,36;;122,94
774984;948;243;1559,21;;134,97
774985;956;227,6;2069,05;;179,03
774986;1454;519,2;1975,54;;170,06
774987;1136;405,7;1868,42;;123,63
774988;948;206;1821,93;;175,18
774989;1370;318,6;2300,15;;123,06
774990;948;296,2;2497,77;;166,55
774991;1092;287,3;1625;;139,26
774992;1638;606,6;3791,66;;139,13
774993;1312;354,5;2068,92;;153,43
774994;1918;599,3;4281,25;;156,68
774995;1170;557,1;2277,32;;159,65
774996;1582;405,6;2316,5;;174,27
774997;1774;412,5;2410,32;;156,05
774998;1518;474,3;2139,32;;176,58
774999;1880;417,7;4098,4;;148,22
775000;1410;503,5;1987,11;;159,46
775001;1894;411,7;5146,73;;146,02
775002;1346;320,4;3657,6;;185,45
775003;1192;350,5;2328,12;;131,75
775004;1852;487,3;2194,21;;152,1
775005;1192;476,8;1929,15;;187,91
775006;1392;435;2636,36;;128,04
775007;1314;469,2;1825;;122,47
775008;948;351,1;1519,23;;196,92
775009;1528;402,1;2805,96;;154,36
775010;1004;295,2;1845,58;;160,58
775011;1054;234,2;2058,59;;141,12
775012;1302;465;2141,44;;151,72
775013;1538;480,6;2136,11;;197,53
775014;1456;316,5;2116,27;;149,81
775015;1618;359,5;3631,51;;200,93
775016;1004;233,4;1624,89;;190,12
775017;1090;340,6;2482,77;507,47;160,46
775018;1380;306,6;2005,81;;178,33
775019;1528;449,4;2448,71;507,47;162,22
775020;948;243;1821,93;;117,06
775021;948;206;1316,66;;160,65
775022;1868;415,1;4670;;137,36
775023;1636;389,5;3144,18;;108,36
775024;1184;438,5;2141,64;;142,7
775025;948;338,5;1316,66;;197,25
775026;1434;573,6;2800,78;;137,06
775027;1562;679,1;2214,56;;121,21
775028;1768;552,5;2907,89;;187,55
775029;1184;311,5;2600,57;;204,24
775030;1368;304;1869,6;;158,28
775031;1148;255,1;1888,15;;147,95
775032;1528;727,6;2513,15;;158,8
775033;1674;507,2;2415,34;;109,36
775034;1986;584,1;2886,62;;163,38
775035;1854;487,8;2694,76;514,29;173,39
775036;1312;285,2;2157,89;;187,89
775037;1392;331,4;2162,95;;136,5
775038;948;338,5;1288,04;;139,62
775039;1620;415,3;2250;;204,11
775040;960;300;1764,7;;191,34
775041;948;338,5;2194,44;;109,15
775042;1368;369,7;2240,56;;127,25
775043;948;296,2;1851,56;;122,26
775044;1454;519,2;2292,84;;193,08
775045;1766;519,4;3963,68;;185,27
775046;1272;295,8;1892,85;;150,76
775047;1866;478,4;2550,2;;191,57
775048;1254;330;2135,71;;158,18
775049;1852;411,5;3617,18;;185,88
775050;948;351,1;1559,21;;134,64
775051;718;256,4;975,54;;103,98
775052;1420;525,9;1929,34;419,42;140,42
775053;2072;900,8;3320,51;;196,02
775054;1368;369,7;1858,69;;96,1
775055;1528;391,7;2448,71;;185,33
775056;1612;374,8;2583,33;;193,78
775057;1338;290,8;3097,22;;168,67
775058;1514;445,2;2038,85;;186,16
775059;1902;422,6;3048,07;;125,08
775060;1410;381;3263,88;;115,22
775061;1942;511;3678,03;;121,38
775062;2048;640;2954,97;;172,73
775063;1012;361,4;1976,56;;109,41
775064;1458;347,1;2134,92;;123,02
775065;1538;569,6;2741,25;;177,74
775066;1866;414,6;2512,88;;118,1
775067;960;342,8;2770,28;;125,74
775068;1488;531,4;2214,28;;98,28
775069;1184;370;1594,45;;114,44
775070;1410;414,7;2306,61;;136,11
775071;1918;599,3;2582,9;1065,58;123,15
775072;1514;329,1;2490,13;;158,27
775073;948;412,1;2576,08;;139,56
775074;948;249,4;2370;;120,07
775075;1242;460;3105;;100,45
775076;948;351,1;2370;;192,52
775077;948;379,2;1795,27;;123,41
775078;1582;367,9;2330,24;;139,47
775079;1184;348,2;2176,47;;160,61
775080;1538;668,6;3560,18;;119,57
775081;948;210,6;2066,64;;127,98
775082;948;338,5;1851,56;;149,05
775083;948;206;2576,08;;104,05
775084;1528;391,7;2808,82;;195,32
775085;1652;660,8;3036,76;;127
775086;1562;371,9;3001,96;;132,26
775087;1538;569,6;3433,03;;169
775088;1612;597;3731,48;;125,65
775089;1398;499,2;2031,97;1280,74;152,46
775090;1902;594,3;2999,3;;150,98
775091;1428;317,3;2289;;99,89
775092;1184;422,8;1947,36;;188,04
775093;216;77,1;300;;132,7
775094;938;246,8;1832,03;;98,63
775095;1576;366,5;3078,12;;124,2
775096;1576;750,4;2592,1;;161,24
775097;998;216,9;1386,11;;184,68
775098;1538;394,3;4052,29;;123,57
775099;1086;472,1;2715;;192,89
775100;1184;438,5;2176,47;;155,76
775101;1812;549;3330,88;;165,2
775102;1866;691,1;5070,65;;162,01
775103;1674;492,3;3269,53;;105,38
775104;1576;562,8;3078,12;541,76;115,99
775105;1902;487,6;4245,53;;110,59
775106;1048;232,8;1455,55;;101,26
775107;1368;318,1;3717,39;;164,47
775108;1410;371;2319,07;;199,92
775109;1806;645;5289;;129,14
775110;1272;471,1;2944,44;;163,4
775111;1802;487;5363,09;;181,13
775112;1246;289,7;2796,57;;193,89
775113;1902;487,6;2584,23;;175,48
775114;1538;549,2;2529,6;;120,73
775115;1170;307,8;1564,23;;172,72
775116;1818;534,7;2525;;148,19
775117;948;210,6;2194,44;;121,39
775118;948;412,1;1295,6;;136,68
775119;1368;297,3;1973,82;;171,24
775120;1730;640,7;3276,51;;163,66
775121;1894;676,4;2986,69;;92,52
775122;948;225,7;2116,07;;182,88
775123;808;299,2;1288,54;;155,9
775124;1110;292,1;1517;;140,16
775125;1410;503,5;2670,45;;177,76
775126;1410;522,2;2319,07;;165,5
775127;1410;313,3;3147,32;;183,57
775128;1868;583,7;4324,07;;170,25
775129;1170;365,6;2285,15;;141,87
775130;1514;445,2;2738,55;;154,23
775131;1346;363,7;1896,92;;107,51
775132;1410;503,5;3263,88;;178,08
775133;948;379,2;2194,44;;149,09
775134;1192;518,2;3239,13;;161,2
775135;1054;250,9;2058,59;;186,36
775136;1364;317,2;2119,44;;131,46
775137;1652;485,8;3036,76;;190,28
775138;1426;375,2;3369,58;;101,03
775139;1774;454,8;3409,4;;115,01
775140;948;225,7;1851,56;;169,86
775141;1184;514,7;3416,68;;147,58
775142;1338;495,5;3291,48;;177,02
775143;1538;732,3;3560,18;;151,34
775144;1766;535,1;4798,91;;105,37
775145;1346;480,7;3004,46;;140,12
775146;1004;313,7;2241,07;;131,09
775147;1854;412;2694,76;;129,2
775148;1840;400;2477,86;;151,77
775149;1538;549,2;2136,11;;144,62
775150;1816;394,7;4540;;181,59
775151;1286;459,2;2511,71;;188,06
775152;1488;531,4;2384,61;;134,24
775153;1106;283,5;1511,53;;111,28
775154;1730;384,4;4255,8;;101,02
775155;1562;371,9;2569,07;739,71;127,89
775156;1736;456,8;3390,62;;175,61
775157;1488;437,6;1762,95;;205,5
775158;1508;603,2;2094,44;;169,41
775159;1582;494,3;2948,27;;202,36
775160;1636;355,6;1981,37;;178,63
775161;924;236,9;2434,53;;108,52
775162;2104;489,3;3984,45;;104,49
775163;1894;498,4;3587,12;;208,39
775164;1902;559,4;4402,77;;96,29
775165;1774;479,4;2463,88;;199,8
775166;1184;370;3467,42;;116,19
775167;1538;549,2;3560,18;;188,12
775168;1346;498,5;2002,97;;133,92
775169;1346;480,7;1799,54;834,27;136,77
775170;1894;823,4;2986,69;;132,43
775171;1184;281,9;1618,13;;145,42
775172;1428;317,3;2760,8;;127,51
775173;1184;370;1761,9;;135,73
775174;1894;757,6;5146,73;;129,54
775175;1316;337,4;2419,11;;108,63
775176;1728;751,3;2842,1;;134,79
775177;1538;569,6;2529,6;;107,37
775178;1380;418,1;2200,73;;150,6
775179;948;249,4;1295,6;;119,71
775180;1818;491,3;4208,33;;117,42
775181;1346;292,6;2628,9;;145,45
775182;1766;551,8;2566,86;;169,72
775183;1410;414,7;1885,1;;132,97
775184;1428;317,3;2024,58;;114,49
775185;1706;609,2;4635,86;;187,12
775186;1184;263,1;2642,85;580,05;166,89
775187;1538;480,6;3328,67;;153,21
775188;1944;452;5122,01;580,05;179,41
775189;1940;606,2;2612,53;;123,35
775190;1254;298,5;2449,21;580,05;155,74
775191;938;203,9;1363,37;;126
775192;1246;319,4;3385,86;;163,49
775193;1514;445,2;2867,13;;161,08
775194;1346;299,1;1956,39;;170,36
